opening,win_count,draw_count,total_games,white_wins,black_wins,win_rate,draw_rate,white_win_rate,black_win_rate
Sicilian Defense: Closed,80,2,82,47,33,0.975609756097561,0.024390243902439025,0.5875,0.4125
Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,41,6,47,28,13,0.8723404255319149,0.1276595744680851,0.6829268292682927,0.3170731707317073
Sicilian Defense: Moscow Variation,36,8,44,15,21,0.8181818181818182,0.18181818181818182,0.4166666666666667,0.5833333333333334
"Sicilian Defense: Closed, Traditional",39,5,44,21,18,0.8863636363636364,0.11363636363636363,0.5384615384615384,0.46153846153846156
Sicilian Defense,39,3,42,23,16,0.9285714285714286,0.07142857142857142,0.5897435897435898,0.41025641025641024
Sicilian Defense: Chekhover Variation,33,0,33,16,17,1.0,0.0,0.48484848484848486,0.5151515151515151
"Sicilian Defense: Canal Attack, Main Line",24,3,27,15,9,0.8888888888888888,0.1111111111111111,0.625,0.375
Sicilian Defense: Old Sicilian,25,2,27,14,11,0.9259259259259259,0.07407407407407407,0.56,0.44
Sicilian Defense: Alapin Variation,26,1,27,16,10,0.9629629629629629,0.037037037037037035,0.6153846153846154,0.38461538461538464
Sicilian Defense: Najdorf Variation,25,1,26,11,14,0.9615384615384616,0.038461538461538464,0.44,0.56
"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",25,0,25,12,13,1.0,0.0,0.48,0.52
Sicilian Defense: Delayed Alapin Variation,22,1,23,11,11,0.9565217391304348,0.043478260869565216,0.5,0.5
Sicilian Defense: Modern Variations,18,3,21,10,8,0.8571428571428571,0.14285714285714285,0.5555555555555556,0.4444444444444444
"Sicilian Defense: Alapin Variation, Barmen Defense",18,1,19,10,8,0.9473684210526315,0.05263157894736842,0.5555555555555556,0.4444444444444444
Sicilian Defense: Kalashnikov Variation,16,2,18,6,10,0.8888888888888888,0.1111111111111111,0.375,0.625
"Sicilian Defense: Taimanov Variation, Bastrikov Variation",13,4,17,10,3,0.7647058823529411,0.23529411764705882,0.7692307692307693,0.23076923076923078
"Sicilian Defense: Najdorf Variation, English Attack",17,0,17,8,9,1.0,0.0,0.47058823529411764,0.5294117647058824
Sicilian Defense: Taimanov Variation,13,3,16,6,7,0.8125,0.1875,0.46153846153846156,0.5384615384615384
"Sicilian Defense: Accelerated Dragon, Maróczy Bind",14,2,16,4,10,0.875,0.125,0.2857142857142857,0.7142857142857143
"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",15,1,16,8,7,0.9375,0.0625,0.5333333333333333,0.4666666666666667
Sicilian Defense: French Variation,15,1,16,6,9,0.9375,0.0625,0.4,0.6
"Sicilian Defense: Alapin Variation, Smith-Morra Declined",13,2,15,8,5,0.8666666666666667,0.13333333333333333,0.6153846153846154,0.38461538461538464
Sicilian Defense: Mengarini Variation,15,0,15,6,9,1.0,0.0,0.4,0.6
Sicilian Defense: Löwenthal Variation,15,0,15,8,7,1.0,0.0,0.5333333333333333,0.4666666666666667
Sicilian Defense: Delayed Alapin,14,1,15,8,6,0.9333333333333333,0.06666666666666667,0.5714285714285714,0.42857142857142855
Sicilian Defense: Prins Variation,11,3,14,6,5,0.7857142857142857,0.21428571428571427,0.5454545454545454,0.45454545454545453
Sicilian Defense: Four Knights Variation,13,0,13,5,8,1.0,0.0,0.38461538461538464,0.6153846153846154
Sicilian Defense: Hyperaccelerated Fianchetto,13,0,13,5,8,1.0,0.0,0.38461538461538464,0.6153846153846154
"Sicilian Defense: Kan Variation, Knight Variation",10,2,12,7,3,0.8333333333333334,0.16666666666666666,0.7,0.3
