Sicilian Defense,Caro-Kann Defense,French Defense,English Opening,Queen's Pawn Game,Indian Defense,Zukertort Opening,Queen's Gambit Declined,Modern Defense,King's Indian Defense
0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0
3,0,1,0,1,0,0,0,0,0
4,0,1,0,1,0,0,0,0,0
5,0,1,0,1,0,0,0,0,0
5,0,1,0,1,0,0,0,0,0
5,0,1,1,1,0,0,0,0,0
5,1,1,1,1,0,0,0,0,0
5,1,1,1,1,0,0,0,0,0
5,1,1,1,1,0,0,0,0,0
5,1,1,1,1,0,0,0,0,0
5,1,1,1,1,0,1,0,0,0
5,2,1,1,1,0,1,0,0,0
5,2,1,1,1,0,2,0,0,0
5,2,1,1,1,0,2,0,0,0
5,2,2,1,1,0,2,0,0,0
5,2,2,1,1,0,2,0,0,0
5,2,2,1,1,0,2,0,0,0
5,2,2,1,1,0,3,0,0,0
5,2,2,1,1,0,3,0,0,0
5,2,2,1,1,0,3,0,0,0
6,2,2,1,1,0,3,0,0,0
6,2,2,1,1,0,3,0,0,0
7,2,2,1,1,0,3,0,0,0
8,2,2,1,1,0,3,0,0,0
8,2,2,1,1,0,3,0,0,0
8,2,2,1,1,0,4,0,0,0
8,3,2,1,1,0,4,0,0,0
9,3,2,1,1,0,4,0,0,0
9,4,2,1,1,0,4,0,0,0
9,4,2,1,1,0,4,1,0,0
9,4,2,1,1,0,4,1,0,0
9,4,2,1,2,0,4,1,0,0
10,4,2,1,2,0,4,1,0,0
10,4,2,1,2,0,4,1,0,0
10,4,2,1,3,0,4,1,0,0
10,4,2,1,3,0,4,2,0,0
10,4,2,1,4,0,4,2,0,0
10,4,2,1,5,0,4,2,0,0
10,5,2,1,5,0,4,2,0,0
10,5,2,1,5,0,4,2,0,0
10,5,2,1,5,0,4,2,0,0
11,5,2,1,5,0,4,2,0,0
11,6,2,1,5,0,4,2,0,0
11,6,2,1,5,0,4,2,0,0
11,6,2,1,5,1,4,2,0,0
11,6,2,1,5,1,4,2,0,0
11,7,2,1,5,1,4,2,0,0
11,7,2,1,6,1,4,2,0,0
12,7,2,1,6,1,4,2,0,0
